oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
TECNO,Spark 4 Lite,2019,Available. Released 2019,,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.52,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
TECNO,Camon 12 Pro,2019,Available. Released 2019,,161.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.35,"720 x 1600 pixels, 20:9 ratio (~276 ppi density)","Fingerprint (under display, optical), accelerometer, proximity",Android 9.0 (Pie)
TECNO,Camon 12,2019,Available. Released 2019,,170.7,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.52,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
TECNO,Pouvoir 3 Air,2019,Available. Released 2019,,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.0,"480 x 960 pixels, 18:9 ratio (~179 ppi density)","Fingerprint (rear-mounted), accelerometer",Android 9.0 Pie (Go edition)
TECNO,Pouvoir 3 Plus,2019,Available. Released 2019,,,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.35,720 x 1548 pixels (~269 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
TECNO,Pouvoir 3,2019,Available. Released 2019,,168.0,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.2,720 x 1500 pixels (~268 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity",Android 8.1 (Oreo)
TECNO,Spark 3,2019,Available. Released 2019,,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.2,720 x 1500 pixels (~268 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
TECNO,Spark 3 Pro,2019,Available. Released 2019,,,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.2,720 x 1500 pixels (~268 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
TECNO,Spark Go,2019,Available. Released 2019,,174.0,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors",6.1,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
TECNO,Pop 2 F,2019,Available. Released 2019,,155.0,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.45,"480 x 960 pixels, 18:9 ratio (~197 ppi density)","Fingerprint (rear-mounted), accelerometer",Android 8.1 Oreo (Go edition)
TECNO,Pop 2 Plus,2019,Available. Released 2019,,205.0,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.0,"480 x 960 pixels, 18:9 ratio (~179 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 8.1 Oreo (Go edition)
TECNO,Phantom 9,2019,Available. Released 2019,,164.4,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.39,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Tel.Me.,T918,2003,Discontinued,,125.0,Mini-SIM,"CSTN touchscreen, 65K colors",,128 x 160 pixels,V1,
Tel.Me.,T919i,2003,Discontinued,,134.0,Mini-SIM,"CSTN resistive touchscreen, 32K colors",,"128 x 256 pixels, 18:9 ratio",V1,
Tel.Me.,T919,2003,Discontinued,,115.0,Mini-SIM,"CSTN resistive touchscreen, 32K colors",,"256 x 128 pixels, 18:9 ratio",V1,
Tel.Me.,T909c,,Discontinued,,80.0,Mini-SIM,Monochrome graphic,,"112 x 64 pixels, 16:9 ratio",V1,
Telit,C1000,2005,Discontinued,,74.5,Mini-SIM,"TFT resistive touchscreen, 256K colors",,128 x 160 pixels,V1,
Telit,T91,2004,Discontinued,,85.0,Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,V1,
Telit,T90,2004,Discontinued,,85.0,Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,V1,
Telit,NEO,2004,Discontinued,,65.0,Mini-SIM,"TFT, 65K colors",,"128 x 128 pixels, 1:1 ratio",V1,
Telit,G83,2003,Discontinued,,90.0,Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,V1,
Telit,G80,2002,Discontinued,,96.0,Mini-SIM,"CSTN, 65K colors",,"160 x 120 pixels, 4:3 ratio","Barometer, altimeter",
Telit,G82,2002,Discontinued,,90.0,Mini-SIM,"CSTN, 4096 colors",,"128 x 96 pixels, 4:3 ratio",V1,
Telit,G40,2003,Discontinued,,75.0,Mini-SIM,Monochrome graphic,,101 x 80 pixels,V1,
Telit,GM 882,2002,Discontinued,,100.0,Mini-SIM,Monochrome graphic,,"132 x 65 pixels, 18.5:9 ratio",V1,
Telit,GM 810,1999,Discontinued,,105.0,Mini-SIM,Monochrome graphic,,4 lines,V1,
Telit,Estremo,1999,Discontinued,,176.0,Mini-SIM,Monochrome graphic,,4 lines,V1,
Telit,GM 710,1999,Discontinued,,105.0,Mini-SIM,Monochrome graphic,,4 lines,V1,
Ulefone,Note 8P,2020,Available. Released 2020,,153.0,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.5,"442 x 960 pixels, 19.5:9 ratio (~192 ppi density)",Accelerometer,Android 10 (Go edition)
Ulefone,Armor X7 Pro,2020,Available. Released 2020,,234.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.0,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 10
Ulefone,Armor 7E,2020,Available. Released 2020,,290.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.3,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, heart rate, baroceptor, coulombmeter",Android 9.0 (Pie)
Ulefone,Armor X7,2020,Available. Released 2020,,234.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.0,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 10
Ulefone,Armor 7,2019,Available. Released 2019,,290.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.3,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, heart rate, baroceptor, coulombmeter",Android 9.0 (Pie)
Ulefone,Armor X6,2019,Available. Released 2019,,223.8,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.0,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Accelerometer, proximity, compass",Android 9.0 (Pie)
Ulefone,Armor 6S,2019,Available. Released 2019,,270.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.2,"1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, baroceptor, uv sensor",Android 9.0 (Pie)
Ulefone,Armor 3W,2019,Available. Released 2019,,365.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.7,"1080 x 2160 pixels, 18:9 ratio (~424 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer, coulombmeter",Android 9.0 (Pie)
Ulefone,Armor 3WT,2019,Available. Released 2019,,373.7,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.7,"1080 x 2160 pixels, 18:9 ratio (~424 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer, coulombmeter",Android 9.0 (Pie)
Ulefone,Armor X5,2019,Available. Released 2019,,223.8,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.5,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)","Accelerometer, proximity, compass",Android 9.0 (Pie)
